GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
08013013506,738,590,517,18,5,13,21,1,73,3193,1116,2002,75
08013013641,1192,964,739,140,11,40,32,2,225,4192,1569,2421,202
08013013654,1898,1605,1346,120,33,50,60,3,259,6733,2243,4141,349
08013013706,242,192,167,7,0,1,6,0,25,1006,356,611,39
08013013640,1141,926,792,81,11,16,21,3,134,4528,1747,2577,204
08013013653,908,742,623,57,6,34,14,2,119,3906,1690,2070,146
08013013636,1472,1231,999,155,15,36,22,2,232,5939,2296,3420,223
08013013639,1191,961,833,63,5,37,25,2,128,4882,1899,2811,172
08013013637,2041,1686,1306,270,25,48,32,3,380,6576,2031,4235,310
08013013638,1141,976,843,64,14,24,32,2,133,5233,2250,2817,166
08013013620,2263,1881,1497,175,29,36,132,2,384,7837,2367,5137,333
08013013611,1951,1513,846,551,37,67,53,4,667,5547,1609,3646,292
08013013613,1350,1046,708,271,13,47,23,4,338,4394,1390,2759,245
08013013621,1483,1176,981,132,10,34,14,0,195,5628,1406,3975,247
08013013622,1327,1041,609,360,25,31,21,1,432,3607,837,2573,197
08013013612,1782,1381,894,304,41,46,100,5,487,5259,1590,3387,282
08013013614,1922,1505,1292,89,18,26,73,2,213,7643,2479,4882,282
08013013615,1030,814,700,44,4,16,50,0,114,4356,1267,2960,129
08013013610,4363,3293,1862,1132,61,85,169,8,1431,9283,2417,6458,408
08013013617,3648,2810,2108,216,44,55,370,6,702,10270,2903,6926,441
08013013618,3740,2583,1936,169,63,79,333,6,647,10458,3106,6986,366
08013013619,3398,2473,1586,567,59,64,173,0,887,7550,1728,5394,428
08013013624,1179,1024,828,112,8,30,35,2,196,4641,1119,3280,242
08013013625,1079,892,756,81,8,38,16,0,136,4546,841,3522,183
08013013626,1574,1278,1016,188,17,39,29,1,262,5730,1816,3632,282
08013013642,1839,1515,1116,280,27,52,42,1,399,6359,2106,3939,314
08013013649,1639,1242,792,383,9,38,26,5,450,3652,1206,2249,197
