GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
27013000240,288,224,211,2,2,4,1,1,13,1182,445,684,53
27013000110,576,422,391,9,7,2,8,0,31,2233,529,1582,122
27013000115,431,328,300,13,7,4,8,0,28,3581,1187,2089,305
27013000020,255,202,199,0,2,0,1,0,3,828,377,408,43
27013000015,298,232,222,3,0,0,0,0,10,987,564,386,37
27013000060,534,430,416,5,0,1,3,0,14,1891,978,810,103
27013000080,205,171,161,4,1,0,3,0,10,689,443,206,40
27013000025,181,143,140,2,0,0,0,0,3,552,354,168,30
27013000245,1581,1245,1152,25,27,8,18,5,93,4362,2187,1917,258
27013000225,1051,825,798,8,0,6,4,1,27,3981,2154,1649,178
27013000045,844,650,629,3,3,8,1,0,21,2518,1336,1025,157
27013000065,2539,1866,1759,47,21,27,2,0,107,7247,3209,3581,457
27013000260,250,201,192,5,2,1,1,0,9,778,441,291,46
27013000125,2066,1794,1168,109,219,30,256,1,626,4593,1432,2760,401
27013000130,2073,1507,1294,52,46,11,104,3,213,7320,2897,4036,387
27013000120,3201,3054,2373,229,275,31,159,3,681,3983,1375,2017,591
27013000090,424,329,323,1,2,3,0,0,6,1407,871,489,47
27013000230,750,549,517,17,3,11,0,0,32,2407,1244,988,175
27013000085,294,224,217,2,1,4,0,0,7,994,608,354,32
27013000210,321,246,235,4,0,3,1,0,11,1022,706,271,45
27013000010,376,296,290,3,0,0,3,0,6,1231,799,356,76
27013000215,229,175,159,8,0,7,1,0,16,566,336,196,34
27013000205,285,221,204,5,0,5,3,2,17,945,551,352,42
27013000200,1710,1304,1233,30,15,9,8,0,71,4764,2494,1986,284
27013000030,226,182,180,0,0,0,2,0,2,901,501,372,28
27013000250,244,196,184,7,1,3,2,0,12,844,501,305,38
27013000212,5,5,5,0,0,0,0,0,0,19,13,6,0
27013000255,328,249,232,9,5,3,1,0,17,790,476,271,43
27013000235,251,199,184,8,1,5,1,1,15,894,531,325,38
27013000220,195,146,141,1,3,0,0,0,5,654,483,138,33
27013000005,530,398,371,9,3,4,2,1,27,1401,780,520,101
27013000050,560,426,401,2,3,14,1,0,25,1498,777,614,107
27015000095,1653,1328,1253,42,7,12,4,0,75,4300,2268,1750,282
27015000090,1719,1327,1207,56,24,21,18,0,120,4935,2416,2161,358
27015000080,1666,1292,1207,42,8,21,8,2,85,4225,2129,1784,312
27015000085,1732,1304,1211,39,21,21,12,0,93,5492,2676,2467,349
27015000030,856,675,670,1,1,3,0,0,5,2936,1937,858,141
27015000110,1662,1270,1210,29,8,6,9,0,60,5690,3198,2163,329
27015000115,1888,1583,1507,27,11,5,30,1,76,5256,2872,2112,272
27015000105,1669,1302,1235,31,8,7,10,0,67,4792,2404,2031,357
27015000100,2131,1777,1721,17,11,8,14,0,56,7325,3926,3061,338
27015000070,691,529,526,1,0,1,0,1,3,2551,1764,699,88
27015000130,348,289,286,1,0,0,1,0,3,1282,816,418,48
27015000035,214,178,174,2,0,0,2,0,4,792,630,147,15
27015000125,228,185,184,0,0,1,0,0,1,901,764,112,25
27015000040,70,60,50,8,0,2,0,0,10,209,119,78,12
27015000060,271,219,213,0,0,4,2,0,6,963,708,222,33
27015000020,36,25,22,1,0,0,0,1,3,86,44,27,15
27015000015,262,198,196,2,1,1,0,0,2,871,654,192,25
27015000050,495,402,392,5,0,3,0,0,10,1741,1398,298,45
27015000155,301,253,247,4,0,0,2,0,6,1083,914,138,31
27015000135,1522,1134,932,174,5,14,9,0,202,3615,2264,1175,176
27015000140,1930,1495,1348,119,6,10,7,0,147,5468,3713,1499,256
27015000120,268,201,200,0,1,0,0,0,1,867,693,149,25
27015000150,970,725,685,29,2,3,5,0,40,2902,1804,969,129
27015000160,174,116,115,0,1,0,0,0,1,540,438,90,12
27015000010,221,168,167,0,0,1,0,0,1,766,562,176,28
27015000025,378,289,257,19,1,4,3,0,32,1126,716,346,64
27015000145,1057,853,803,31,5,14,2,0,50,2761,1756,890,115
27015000055,336,244,240,1,0,2,1,0,4,998,576,387,35
27015000005,311,244,234,2,0,3,5,0,10,1014,752,239,23
27015000075,180,153,152,0,0,0,1,0,1,639,389,211,39
27015000065,291,215,207,4,1,3,0,0,8,931,553,313,65
27015000045,382,277,268,5,3,3,0,0,9,1087,495,483,109
27017000060,1902,1449,1348,9,10,54,16,2,101,6312,2593,3486,233
27017000055,2591,1887,1478,37,17,340,16,1,409,6992,2630,3924,438
27017000045,2355,1721,1497,28,12,131,32,1,224,5886,2186,3259,441
27017000165,5465,4025,3855,33,10,75,19,3,170,17726,8293,8783,650
27017000135,987,785,734,10,6,28,4,0,51,3170,1125,1858,187
