
GEOID,NAME
0900909-127,New Haven 029-00
0900909-128,New Haven 030-01
0900909-129,New Haven 030-02
0900909-130,North Branford 001-00
0900909-131,North Branford 002-00
0900909-132,North Haven 001-00
0900909-133,North Haven 002-00
0900909-134,North Haven 003-00
0900909-135,North Haven 003-11
0900909-136,North Haven 004-00
0900909-137,North Haven 005-00
0900909-138,Orange 001-00
0900909-139,Orange 002-00
0900909-140,Orange 003-00
0900909-141,Oxford 001-00
0900909-142,Prospect 001-00
0900909-143,Prospect 002-00
0900909-144,Seymour 001-00
0900909-145,Seymour 002-00
0900909-146,Seymour 003-00
0900909-147,Southbury 001-00
0900909-148,Southbury 002-00
0900909-149,Southbury 003-00
0900909-150,Wallingford 001-00
0900909-151,Wallingford 002-00
0900909-152,Wallingford 003-00
0900909-153,Wallingford 004-00
0900909-154,Wallingford 005-00
0900909-155,Wallingford 006-00
0900909-156,Wallingford 007-00
0900909-157,Wallingford 008-00
0900909-158,Wallingford 009-00
0900909-159,Waterbury 071-01
0900909-160,Waterbury 071-02
0900909-161,Waterbury 071-03
0900909-162,Waterbury 072-01
0900909-163,Waterbury 072-02
0900909-164,Waterbury 072-03
0900909-165,Waterbury 072-04
0900909-166,Waterbury 072-05
0900909-167,Waterbury 073-01
0900909-168,Waterbury 073-02
0900909-169,Waterbury 073-03
0900909-170,Waterbury 073-04
0900909-171,Waterbury 074-01
0900909-172,Waterbury 074-02
0900909-173,Waterbury 074-03
0900909-174,Waterbury 074-04
0900909-175,Waterbury 074-05
0900909-176,Waterbury 074-05A
0900909-177,Waterbury 075-01
0900909-178,Waterbury 075-02
0900909-179,Waterbury 075-03
0900909-180,Waterbury 075-04
0900909-181,West Haven 003-00
0900909-182,West Haven 002-00
0900909-184,West Haven 001-00
0900909-185,West Haven 004-00
0900909-186,West Haven 006-00
0900909-190,West Haven 009-00
0900909-191,Wolcott 001-00
0900909-192,Wolcott 002-00
0900909-193,Wolcott 003-00
0900909-194,Woodbridge 003-00
0900909-195,Woodbridge 014-00
0900909-196,West Haven 005-00
0900909-197,West Haven 007-00
0900909-198,West Haven 008-00
0900909-199,West Haven 010-00
0901111-001,Bozrah 001-00
0901111-002,Colchester 001-00
0901111-003,Colchester 002-00
0901111-004,Colchester 003-00
0901111-005,Colchester 004-00
0901111-006,East Lyme 001-00
0901111-007,East Lyme 002-00
0901111-008,East Lyme 003-00
0901111-009,Franklin 001-00
0901111-010,Griswold 001-00
0901111-011,Griswold 002-00
0901111-012,Groton 001-00
0901111-013,Groton 002-00
0901111-014,Groton 003-00
0901111-015,Groton 004-00
0901111-016,Groton 005-00
0901111-017,Groton 006-00
0901111-018,Groton 007-00
0901111-019,Lebanon 001-00
0901111-020,Lebanon 002-00
0901111-021,Ledyard 001-00
0901111-022,Ledyard 002-00
0901111-023,Ledyard 003-00
0901111-024,Lisbon 001-00
0901111-025,Lisbon 002-00
0901111-026,Lyme 001-00
0901111-027,Montville 001-00
0901111-028,Montville 002-00
0901111-030,Montville 003-00
0901111-031,Montville 005-00
0901111-032,Montville 006-00
0901111-033,New London 001-00
0901111-034,New London 002-00
0901111-035,New London 003-00
0901111-036,North Stonington 001-00
0901111-037,Norwich 001-00
0901111-038,Norwich 002-00
0901111-039,Norwich 003-00
0901111-040,Norwich 004-00
0901111-041,Norwich 005-00
0901111-042,Norwich 006-00
0901111-043,Old Lyme 001-00
0901111-044,Preston 001-00
0901111-045,Salem 001-00
0901111-046,Sprague 001-00
0901111-047,Stonington 001-00
0901111-048,Stonington 002-00
