GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
36005000496,1758,1474,1079,290,75,10,54,3,395,3205,1727,1418,60
36035000018,1414,1046,864,57,62,51,7,0,182,1549,759,720,70
36035000031,1131,908,824,13,30,10,20,0,84,1775,1063,661,51
36035000020,1880,1665,1202,173,249,28,28,1,463,3593,2234,1244,115
36105000054,260,205,159,24,7,13,2,1,46,636,328,286,22
36105000055,655,535,481,38,4,6,6,1,54,1895,902,905,88
36105000033,457,368,237,57,39,13,16,0,131,841,378,445,18
36105000032,962,710,345,275,73,27,21,1,365,1543,821,677,45
36105000060,1548,957,668,134,108,20,37,1,289,2657,1454,1121,82
36105000057,167,134,113,6,4,3,7,0,21,379,152,216,11
36005000923,2287,1709,79,911,808,49,71,3,1630,2593,202,2368,23
36005000587,1669,1284,27,328,915,22,84,3,1257,2470,55,2400,15
36005000596,1515,1231,56,420,781,34,37,6,1175,2280,109,2153,18
36007000008,1238,1004,720,43,182,24,19,2,284,2137,763,1281,93
36007000012,2034,1499,797,167,488,66,23,4,702,2254,617,1557,80
36011000047,1650,1290,1201,20,9,40,2,1,89,3804,2500,1157,147
36011000025,2477,2104,1938,68,9,31,24,5,166,7896,3879,3750,267
36011000039,1674,1337,1184,43,66,28,13,3,153,4616,2459,2001,156
36011000032,1177,943,884,15,5,22,3,2,59,2564,1449,1051,64
36011000001,2182,1588,1295,48,159,47,8,4,293,3035,1186,1708,141
36011000002,1280,983,865,44,49,23,4,5,118,2675,1149,1380,146
36105000035,1161,966,822,63,20,34,13,1,144,3058,1705,1247,106
36105000009,1353,1108,902,61,100,12,19,8,206,3678,1517,2051,110
36027000100,1081,913,738,106,30,14,22,1,175,2623,979,1577,67
36027000099,983,819,702,67,14,7,13,0,117,2621,1087,1494,40
36027000101,907,732,548,115,20,23,23,4,184,1994,839,1091,64
36027000147,738,546,350,46,40,2,102,0,196,2048,802,1210,36
36105000031,1710,1347,913,277,103,48,19,4,434,2623,1319,1230,74
36105000029,1147,862,487,227,143,20,15,0,375,1335,565,734,36
36105000050,228,189,171,15,2,2,2,1,18,676,389,271,16
36105000044,1130,962,751,112,66,32,24,0,211,3540,1735,1711,94
36035000010,915,728,645,33,27,13,4,1,83,1434,768,616,50
