GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
51710000405,6035,4992,192,172,4574,90,73,0,4800,10120,389,9641,90
51001000803,1009,846,662,54,114,21,2,0,184,3245,2074,1134,37
51001000901,3773,2947,1317,198,1347,43,15,3,1630,9895,3506,6305,84
51660000103,7132,6136,4209,879,537,104,464,14,1927,12709,4084,8257,368
51025000302,1314,1035,575,11,426,19,7,1,460,3841,1977,1842,22
51025000301,38,242,127,3,101,8,6,1,115,1017,474,535,8
51025000501,3135,2574,771,49,1723,16,11,5,1803,5361,1246,4070,45
51191000401,3091,2409,2256,17,70,44,11,1,153,8732,6409,2212,111
51059000710,4781,3742,1531,947,207,81,998,3,2211,9772,2290,7193,289
51059000525,7282,5595,1981,1965,219,118,1362,10,3614,14133,3981,9834,318
51059000618,7963,6023,2802,1069,824,108,1271,30,3221,24447,7034,16842,571
51059000411,3644,2827,1416,785,295,64,302,5,1411,11447,2791,8412,244
51059000408,4920,3786,1638,1061,737,51,330,10,2148,11383,1994,9116,273
51059000428,6867,5056,829,2125,1574,101,554,15,4227,12649,1658,10806,185
51059000413,6663,4726,469,2177,1738,135,371,11,4257,10980,1263,9607,110
51059000713,5981,4456,1698,1202,361,79,1164,2,2758,13286,2882,10114,290
51710000203,2034,1745,1283,102,158,20,169,6,462,4923,1403,3369,151
51710000211,5855,5578,3934,373,666,69,556,14,1644,11718,3341,8050,327
51760000412,3561,3025,1168,220,1462,49,162,4,1857,8427,1653,6581,193
51760000404,3960,3314,1609,191,1353,98,87,8,1705,11063,2168,8632,263
51760000909,4000,3052,663,349,1981,94,57,3,2389,8904,867,7908,129
51760000207,3249,3013,2646,129,98,27,95,10,367,10778,2092,8355,331
51760000504,5111,4626,2918,261,1091,53,335,10,1708,13800,1369,12053,378
51143000204,1192,989,843,17,106,17,2,0,146,3729,2751,931,47
51143000108,1067,853,642,17,174,17,6,0,211,3039,2081,934,24
51143000307,2083,1597,457,33,1076,21,11,0,1140,5355,1186,4137,32
51143000704,4214,3275,2518,94,554,73,38,3,757,10106,7061,2929,116
51143000405,3640,2923,2203,49,604,51,14,2,720,10538,7264,3183,91
51001000202,2890,2441,2165,58,124,63,23,0,276,6644,4420,2154,70
51001000201,1519,1222,891,104,191,33,14,1,331,4578,3194,1334,50
51001000301,3590,2786,1302,70,1331,55,33,1,1484,7462,3198,4191,73
51021000301,681,543,530,2,7,4,1,1,13,2231,1862,339,30
51021000401,1471,1251,1155,18,50,20,7,2,96,4346,3508,791,47
51021000202,1364,1131,1080,11,14,19,8,1,51,3768,2977,727,64
51021000201,285,253,250,0,2,1,0,0,3,752,570,176,6
51710000409,3547,2881,1390,237,1002,62,254,13,1491,7310,2745,4397,168
51710000411,3224,2714,198,80,2422,37,26,7,2516,5221,149,5026,46
51710000310,6773,5115,658,509,3812,95,153,17,4457,13026,725,12186,115
51710000504,3958,3206,1456,404,1109,84,239,12,1750,8761,3067,5524,170
51710000507,5419,4310,2553,399,1071,109,198,30,1757,9264,3540,5408,316
51073000101,2854,2266,1884,59,197,84,38,6,382,8216,5554,2502,160
51021000102,806,661,641,1,1,15,3,0,20,2284,1835,416,33
51710000309,8065,6064,1942,470,3226,174,323,56,4122,14979,2738,11946,295
51710000214,4180,3558,2309,188,846,63,160,2,1249,10379,2353,7808,218
51710000101,6708,5479,2750,502,1947,140,238,24,2729,12489,3381,8805,303
51710000106,17815,16422,7586,3089,4387,474,1336,175,8836,10866,3422,7186,258
51710000306,2813,2136,485,95,1513,53,45,7,1651,6415,484,5837,94
51183000302,300,253,212,1,27,4,3,0,41,1076,869,188,19
51183000401,1185,957,370,11,556,13,3,1,587,3946,1435,2465,46
51087000512,2349,1750,806,72,808,44,20,0,944,5417,1654,3655,108
51760000215,2690,2585,1911,112,373,33,169,2,674,5569,1084,4308,177
51091000001,763,654,634,9,2,9,5,3,20,2426,1513,868,45
51790000101,6135,4811,3568,235,775,112,134,1,1243,13038,5873,6892,273
51087000509,4027,3083,856,283,1829,66,81,5,2227,8304,1820,6390,94
51087000408,4194,3324,2166,227,738,36,161,0,1158,11419,4635,6548,236
51075000402,2571,2297,1886,89,151,26,124,1,411,7475,4816,2525,134
51075000502,2254,1926,1597,48,90,27,160,2,329,8121,4933,3013,175
51159000401,1560,1243,991,37,176,27,12,1,252,4326,2986,1302,38
51159000101,1538,1198,608,38,528,18,13,1,590,3964,1425,2507,32
51001000502,1922,1388,348,296,738,42,6,2,1040,2744,684,2032,28
51001000501,1806,1347,515,285,531,43,13,0,832,3547,1273,2233,41
51001000601,2898,2336,1312,328,629,58,28,0,1024,6073,3316,2678,79
51143000501,3288,2627,2016,39,514,42,20,1,611,8684,5765,2808,111
51001000403,411,344,313,11,17,6,4,0,31,1390,948,435,7
51670000501,3025,2333,1468,163,600,71,42,5,865,6682,3900,2649,133
51670000201,3103,2186,495,120,1521,40,17,1,1691,5125,813,4260,52
51075000501,3344,2841,2371,88,264,30,75,0,470,12471,7914,4307,250
51075000301,2331,2088,1682,54,299,22,13,0,406,7419,4433,2866,120
51075000401,3268,2621,2092,101,350,28,36,4,529,12063,7226,4612,225
